RunNum,GCD,LiveTime
120470,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120470_0721_1_20_GCD_update_rde.i3.zst,28803.32
120480,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120480_0725_1_20_GCD_update_rde.i3.zst,28803.61
120500,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120500_0727_1_20_GCD_update_rde.i3.zst,655.34
120510,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120510_0730_1_20_GCD_update_rde.i3.zst,28803.67
120520,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120520_0802_1_20_GCD_update_rde.i3.zst,28803.18
120530,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120530_0805_1_20_GCD_update_rde.i3.zst,28803.27
120540,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120540_0808_1_20_GCD_update_rde.i3.zst,28803.52
120550,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120550_0812_1_20_GCD_update_rde.i3.zst,28803.81
120560,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120560_0815_1_20_GCD_update_rde.i3.zst,28803.08
120570,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120570_0818_1_20_GCD_update_rde.i3.zst,28803.17
120590,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120590_0823_1_20_GCD_update_rde.i3.zst,28803.35
120600,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120600_0826_1_20_GCD_update_rde.i3.zst,28803.71
120620,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120620_0831_1_20_GCD_update_rde.i3.zst,28803.61
120630,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120630_0903_1_20_GCD_update_rde.i3.zst,28803.38
120640,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120640_0907_1_20_GCD_update_rde.i3.zst,28803.56
120650,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120650_0909_1_20_GCD_update_rde.i3.zst,28803.9
120660,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120660_0912_1_20_GCD_update_rde.i3.zst,28803.76
120680,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120680_0916_1_20_GCD_update_rde.i3.zst,28804.11
120690,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120690_0917_1_20_GCD_update_rde.i3.zst,28803.52
120700,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120700_0920_1_20_GCD_update_rde.i3.zst,28802.96
120710,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120710_0922_1_20_GCD_update_rde.i3.zst,28803.09
